store,movement_id,voucher_no,voucher_date,movement_type,account_id,label_no,category,purity,gross_weight,net_weight,stone_weight,fine_weight,value,gold_rate_used,created_at,slab_id,slab_label,item_label_no,item_huid,item_item_name,item_category,item_purity,item_gross_weight,item_net_weight,item_stone_weight,item_fine_weight,item_pieces,item_design_code,item_certificate_no,item_supplier_id,item_location,item_slab_id,item_created_at,acct_account_id,customer_name,customer_type,customer_credit_terms,customer_contact
STORE_4,1,STORE_4_V10000,2025-08-01,SALE,29,LBL00114,BANGLE,585,42.373,41.894,0.093,24.508,146064.65,5426.34,2025-08-01,9,10+ GM,LBL00114,H650131,BANGLE LBL00114,BANGLE,585,39.36,39.073,0.008,22.858,1,DES4438,,5006,MAIN_STORE,21,2025-11-24 11:50:05.180508,29,Customer_29,Customer,Net 15,+919719748617
STORE_4,2,STORE_4_V10001,2025-08-01,SALE,119,LBL00246,RING,916,6.897,6.349,0.015,5.816,37367.7,5937.16,2025-08-01,10,0–10 GM,LBL00246,H927251,RING LBL00246,RING,916,6.325,6.095,0.048,5.583,1,DES7974,,5019,MAIN_STORE,8,2025-11-24 11:50:05.511366,119,Customer_119,Customer,Net 0,+919667185159
STORE_4,3,STORE_4_V10002,2025-08-01,SALE,58,LBL00140,PENDANT,750,5.475,5.274,0.086,3.955,23862.2,5287.72,2025-08-01,10,0–10 GM,LBL00140,H922072,PENDANT LBL00140,PENDANT,750,5.171,4.936,0.096,3.702,1,DES7782,,5001,MAIN_STORE,10,2025-11-24 11:50:05.242820,58,Customer_58,Customer,Net 30,+918394541743
STORE_4,4,STORE_4_V10003,2025-08-01,SALE,99,LBL00152,PENDANT,916,9.278,9.018,0.0,8.26,49166.9,5390.13,2025-08-01,10,0–10 GM,LBL00152,H621199,PENDANT LBL00152,PENDANT,916,9.672,9.454,0.0,8.66,1,DES4893,,5011,MAIN_STORE,10,2025-11-24 11:50:05.271666,99,Customer_99,Customer,Net 30,+919251627092
STORE_4,5,STORE_4_V10004,2025-08-01,SALE,86,LBL00108,BRACELET,916,18.476,17.992,0.0,16.481,99835.41,5857.59,2025-08-01,11,10–20 GM,LBL00108,H197649,BRACELET LBL00108,BRACELET,916,19.342,19.018,0.018,17.42,1,DES5903,,5010,MAIN_STORE,20,2025-11-24 11:50:05.165490,86,Customer_86,Customer,Net 0,+918443831341
STORE_4,6,STORE_4_V10005,2025-08-01,SALE,46,LBL00095,CHAIN,585,15.673,15.356,0.0,8.983,59055.82,5928.06,2025-08-01,11,10–20 GM,LBL00095,H530074,CHAIN LBL00095,CHAIN,585,16.376,16.036,0.014,9.381,1,DES8239,,5002,MAIN_STORE,3,2025-11-24 11:50:05.132644,46,Customer_46,Customer,Net 30,+919451001264
STORE_4,7,STORE_4_V10006,2025-08-01,SALE,77,LBL00178,BRACELET,916,40.71,40.626,0.006,37.213,238322.72,5797.82,2025-08-01,9,10+ GM,LBL00178,H676051,BRACELET LBL00178,BRACELET,916,39.298,38.88,0.0,35.614,1,DES6218,,5008,MAIN_STORE,21,2025-11-24 11:50:05.345437,77,Customer_77,Customer,Net 30,+919996893560
STORE_4,8,STORE_4_V10007,2025-08-01,SALE,92,LBL00058,BANGLE,750,10.383,9.929,0.0,7.447,45977.45,5533.49,2025-08-01,19,5–15 GM,LBL00058,H871051,BANGLE LBL00058,BANGLE,750,10.133,9.668,0.066,7.251,1,DES7232,,5010,MAIN_STORE,19,2025-11-24 11:50:05.019018,92,Customer_92,Customer,Net 15,+919997331061
STORE_4,9,STORE_4_V10008,2025-08-01,SALE,83,LBL00026,EARRING,916,1.769,1.29,0.0,1.182,7445.34,5873.44,2025-08-01,1,0–5 GM,LBL00026,H810929,EARRING LBL00026,EARRING,916,1.757,1.685,0.0,1.543,1,DES4726,,5013,MAIN_STORE,14,2025-11-24 11:50:04.942369,83,Customer_83,Customer,Net 0,+917953850512
STORE_4,10,STORE_4_V10009,2025-08-02,SALE,74,LBL00134,BANGLE,916,45.656,45.109,0.0,41.32,247346.16,5629.36,2025-08-02,9,10+ GM,LBL00134,H515287,BANGLE LBL00134,BANGLE,916,43.795,43.515,0.0,39.86,1,DES1477,,5005,MAIN_STORE,21,2025-11-24 11:50:05.227507,74,Customer_74,Customer,Net 0,+918371454094
