movement_id,voucher_no,voucher_date,movement_type,account_id,label_no,quantity,gross_weight,net_weight,stone_weight,fine_weight,purity,location_to,value,gold_rate_used,created_at,huid,item_name,category,purity_item,gross_weight_item,net_weight_item,stone_weight_item,fine_weight_item,pieces,design_code,certificate_no,supplier_id,location,slab_id,created_at_item,account_name,account_type,credit_terms,contact,slab_label,product_category,store,item_label_no,item_huid,item_item_name,item_category,item_purity,item_gross_weight,item_net_weight,item_stone_weight,item_fine_weight,item_pieces,item_design_code,item_certificate_no,item_supplier_id,item_location,item_slab_id,item_created_at,acct_account_id,customer_name,customer_type,customer_credit_terms,customer_contact,month,week,day_of_week,is_weekend,is_festival_period,min_wt,max_wt,price_per_gram,relative_price
1,V10000,2025-08-01,SALE,33,LBL00177,1.0,9.153,8.873,0.004,8.128,916,MAIN_STORE,47818.74,5500.06,2025-08-01,H316612,PENDANT LBL00177,PENDANT,916.0,8.608,8.569,0.021,7.849,1.0,DES9888,,5011.0,MAIN_STORE,10,2025-11-24 11:50:05.343785,Customer_33,Customer,Net 0,918610883633.0,0–10 GM,GOLD NECKLACE,MAIN_STORE,LBL00067,H517375,PENDANT LBL00067,BANGLE,916.0,12.023,11.79,0.02,9.765,1.0,DES5989,,5009.0,MAIN_STORE,13.0,2025-11-24 11:50:05.046071,61.0,Customer_76,Customer,Net 30,918403731150.0,8,31,4,0,0,0,10.0,5389.240911840313,0.9850693227101738
2,V10001,2025-08-01,SALE,49,LBL00061,1.0,10.723,10.376,0.03,9.504,916,MAIN_STORE,56067.79,5724.98,2025-08-01,H214626,EARRING LBL00061,EARRING,916.0,10.654,10.25,0.015,9.389,1.0,DES8399,,5014.0,MAIN_STORE,17,2025-11-24 11:50:05.026324,Customer_49,Customer,Net 15,918527529840.0,10+ GM,GOLD EARRING,MAIN_STORE,LBL00067,H517375,PENDANT LBL00067,BANGLE,916.0,12.023,11.79,0.02,9.765,1.0,DES5989,,5009.0,MAIN_STORE,13.0,2025-11-24 11:50:05.046071,61.0,Customer_76,Customer,Net 30,918403731150.0,8,31,4,0,0,10,15.0,5403.602987316598,1.0253528454470116
3,V10002,2025-08-01,SALE,85,LBL00213,1.0,6.15,5.906,0.0,3.455,585,MAIN_STORE,21611.92,5715.35,2025-08-01,H977394,PENDANT LBL00213,PENDANT,585.0,5.854,5.747,0.066,3.362,1.0,DES8972,,5003.0,MAIN_STORE,10,2025-11-24 11:50:05.432167,Customer_85,Customer,Net 15,917635708419.0,0–10 GM,GOLD NECKLACE,MAIN_STORE,LBL00067,H517375,PENDANT LBL00067,BANGLE,916.0,12.023,11.79,0.02,9.765,1.0,DES5989,,5009.0,MAIN_STORE,13.0,2025-11-24 11:50:05.046071,61.0,Customer_76,Customer,Net 30,918403731150.0,8,31,4,0,0,0,10.0,3659.3153302886335,1.0236280974301357
4,V10003,2025-08-01,SALE,117,LBL00013,1.0,10.765,10.397,0.042,7.798,750,MAIN_STORE,50875.78,5870.6,2025-08-01,H308535,RING LBL00013,RING,750.0,10.439,10.365,0.014,7.774,1.0,DES9202,,5014.0,MAIN_STORE,9,2025-11-24 11:50:04.910806,Customer_117,Customer,Net 0,917368570209.0,10+ GM,GOLD RINGS,MAIN_STORE,LBL00067,H517375,PENDANT LBL00067,BANGLE,916.0,12.023,11.79,0.02,9.765,1.0,DES5989,,5009.0,MAIN_STORE,13.0,2025-11-24 11:50:05.046071,61.0,Customer_76,Customer,Net 30,918403731150.0,8,31,4,0,0,10,15.0,4893.3129851579315,1.0514336145246317
5,V10004,2025-08-01,SALE,78,LBL00059,1.0,8.974,8.491,0.0,4.967,585,MAIN_STORE,30629.2,5668.94,2025-08-01,H513296,RING LBL00059,RING,585.0,8.524,8.314,0.013,4.864,1.0,DES9784,,5016.0,MAIN_STORE,8,2025-11-24 11:50:05.021390,Customer_78,Customer,Net 0,917657978181.0,5–10 GM,GOLD RINGS,MAIN_STORE,LBL00067,H517375,PENDANT LBL00067,BANGLE,916.0,12.023,11.79,0.02,9.765,1.0,DES5989,,5009.0,MAIN_STORE,13.0,2025-11-24 11:50:05.046071,61.0,Customer_76,Customer,Net 30,918403731150.0,8,31,4,0,0,5,10.0,3607.25431548059,1.0153159940590852
6,V10005,2025-08-01,SALE,99,LBL00185,1.0,41.536,41.137,0.0,37.681,916,MAIN_STORE,239945.47,5870.93,2025-08-01,H190302,CHAIN LBL00185,CHAIN,916.0,42.848,42.427,0.017,38.864,1.0,DES7987,,5012.0,MAIN_STORE,4,2025-11-24 11:50:05.362579,Customer_99,Customer,Net 30,919251627092.0,20–50 GM,GOLD CHAINS,MAIN_STORE,LBL00067,H517375,PENDANT LBL00067,BANGLE,916.0,12.023,11.79,0.02,9.765,1.0,DES5989,,5009.0,MAIN_STORE,13.0,2025-11-24 11:50:05.046071,61.0,Customer_76,Customer,Net 30,918403731150.0,8,31,4,0,0,20,50.0,5832.838178942602,1.0514927180392288
7,V10006,2025-08-01,SALE,101,LBL00080,1.0,2.926,2.656,0.036,1.992,750,MAIN_STORE,12311.06,5318.96,2025-08-01,H649262,RING LBL00080,RING,750.0,2.754,2.464,0.018,1.848,1.0,DES7292,,5016.0,MAIN_STORE,7,2025-11-24 11:50:05.087851,Customer_101,Customer,Net 0,918143565474.0,2–5 GM,GOLD RINGS,MAIN_STORE,LBL00067,H517375,PENDANT LBL00067,BANGLE,916.0,12.023,11.79,0.02,9.765,1.0,DES5989,,5009.0,MAIN_STORE,13.0,2025-11-24 11:50:05.046071,61.0,Customer_76,Customer,Net 30,918403731150.0,8,31,4,0,0,2,5.0,4635.186507836404,0.9526340303055795
8,V10007,2025-08-01,SALE,96,LBL00084,1.0,6.146,5.891,0.0,4.418,750,MAIN_STORE,27691.87,5610.68,2025-08-01,H692960,RING LBL00084,RING,750.0,5.506,5.306,0.022,3.979,1.0,DES3459,,5005.0,MAIN_STORE,8,2025-11-24 11:50:05.100188,Customer_96,Customer,Net 15,919801385697.0,5–10 GM,GOLD RINGS,MAIN_STORE,LBL00067,H517375,PENDANT LBL00067,BANGLE,916.0,12.023,11.79,0.02,9.765,1.0,DES5989,,5009.0,MAIN_STORE,13.0,2025-11-24 11:50:05.046071,61.0,Customer_76,Customer,Net 30,918403731150.0,8,31,4,0,0,5,10.0,4700.707061499395,1.0048815372093245
9,V10008,2025-08-02,SALE,117,LBL00129,1.0,24.549,24.378,0.0,18.284,750,MAIN_STORE,113564.13,5814.65,2025-08-02,H771736,BANGLE LBL00129,BANGLE,750.0,24.549,24.378,0.0,18.284,1.0,DES4296,,5009.0,MAIN_STORE,20,2025-11-24 11:50:05.215028,Customer_117,Customer,Net 0,917368570209.0,15–30 GM,GOLD BRACELET,MAIN_STORE,LBL00067,H517375,PENDANT LBL00067,BANGLE,916.0,12.023,11.79,0.02,9.765,1.0,DES5989,,5009.0,MAIN_STORE,13.0,2025-11-24 11:50:05.046071,61.0,Customer_76,Customer,Net 30,918403731150.0,8,31,5,1,0,15,30.0,4658.467689783096,1.0414128822770499
10,V10009,2025-08-02,SALE,38,LBL00207,1.0,34.397,33.947,0.016,31.095,916,MAIN_STORE,177883.33,5559.86,2025-08-02,H266744,BRACELET LBL00207,BRACELET,916.0,33.383,33.291,0.02,30.495,1.0,DES8903,,5012.0,MAIN_STORE,21,2025-11-24 11:50:05.417260,Customer_38,Customer,Net 15,919558781873.0,30+ GM,GOLD BRACELET,MAIN_STORE,LBL00067,H517375,PENDANT LBL00067,BANGLE,916.0,12.023,11.79,0.02,9.765,1.0,DES5989,,5009.0,MAIN_STORE,13.0,2025-11-24 11:50:05.046071,61.0,Customer_76,Customer,Net 30,918403731150.0,8,31,5,1,0,30,15.0,5240.030776209067,0.995779595961387
